ORIGIN_SZ_C,DEST_SZ_C,O_TOTAL_POP,D_TOTAL_POP,O_MONTHLY_INCOME,D_MONTHLY_INCOME,TRIPS,FlowNoIntra,offset,dist
AMSZ01,TPSZ11,4090,8570,101.2,68.9,5802,5802,1,5290.802419509117
AMSZ01,TPSZ12,4090,7000,101.2,68.9,6743,6743,1,5622.999044020012
AMSZ01,WDSZ02,4090,29510,101.2,134.8,558,558,1,9639.966128707898
AMSZ01,WDSZ03,4090,81250,101.2,134.8,1217,1217,1,9071.37808229245
AMSZ01,YSSZ06,4090,3730,101.2,119.3,10,10,1,4054.6186860862617
AMSZ01,YSSZ07,4090,690,101.2,119.3,15428,15428,1,5251.529706303371
AMSZ01,YSSZ09,4090,46610,101.2,119.3,9536,9536,1,6689.466486596734
AMSZ02,AMSZ01,24330,4090,101.2,101.2,87646,87646,1,810.449105866827
AMSZ02,AMSZ02,24330,24330,101.2,101.2,482426,0,1e-10,0
AMSZ02,AMSZ03,24330,23360,101.2,101.2,250391,250391,1,950.2937017138923
AMSZ02,AMSZ04,24330,18170,101.2,101.2,27839,27839,1,1026.5865956064895
AMSZ02,AMSZ05,24330,14870,101.2,101.2,19313,19313,1,1824.4721009426303
AMSZ02,AMSZ06,24330,19710,101.2,101.2,28,28,1,1614.168479248028
AMSZ02,AMSZ07,24330,5660,101.2,101.2,5268,5268,1,2605.673169310835
AMSZ02,AMSZ08,24330,6860,101.2,101.2,457,457,1,3262.510195970498
AMSZ02,AMSZ09,24330,20890,101.2,101.2,17416,17416,1,1826.533926330297
AMSZ02,AMSZ12,24330,3590,101.2,101.2,26669,26669,1,1191.8466047503327
AMSZ02,BDSZ01,24330,32410,101.2,150.3,17043,17043,1,7414.188415471603
AMSZ02,BDSZ03,24330,32280,101.2,150.3,7112,7112,1,8656.611151625708
AMSZ02,BDSZ04,24330,71920,101.2,150.3,9831,9831,1,10246.094612688747
AMSZ02,BDSZ05,24330,28100,101.2,150.3,1827,1827,1,9774.307708050956
AMSZ02,BDSZ06,24330,40730,101.2,150.3,1026,1026,1,11553.70311898255
AMSZ02,BDSZ08,24330,6040,101.2,150.3,181,181,1,12373.935407356114
AMSZ02,BSSZ02,24330,25060,101.2,49.5,8039,8039,1,2273.550070485207
AMSZ02,BSSZ03,24330,24240,101.2,49.5,31048,31048,1,2534.010224413436
AMSZ02,DTSZ08,24330,190,101.2,21.5,402,402,1,10418.28794046101
AMSZ02,DTSZ09,24330,570,101.2,21.5,216,216,1,10745.967907505395
AMSZ02,DTSZ11,24330,850,101.2,21.5,112,112,1,10731.925992381759
AMSZ02,GLSZ03,24330,10130,101.2,61.4,4114,4114,1,6712.932779467517
AMSZ02,GLSZ05,24330,25690,101.2,61.4,6035,6035,1,7892.454663442435
AMSZ02,HGSZ01,24330,4220,101.2,120.8,38533,38533,1,4172.120740391874
AMSZ02,HGSZ02,24330,27410,101.2,120.8,22766,22766,1,4922.144878095273
AMSZ02,HGSZ03,24330,20870,101.2,120.8,17356,17356,1,4832.312327829606
AMSZ02,HGSZ04,24330,40510,101.2,120.8,118381,118381,1,3538.2644565160763
AMSZ02,HGSZ05,24330,42440,101.2,120.8,58160,58160,1,3176.5205842304913
AMSZ02,HGSZ06,24330,21180,101.2,120.8,10120,10120,1,3150.198847606029
AMSZ02,HGSZ07,24330,28450,101.2,120.8,4093,4093,1,4021.8766001225263
AMSZ02,HGSZ08,24330,11870,101.2,120.8,5679,5679,1,4915.426368113823
AMSZ02,MUSZ01,24330,220,101.2,21.5,57,57,1,8227.635191421119
AMSZ02,NVSZ01,24330,27810,101.2,23.8,2657,2657,1,5230.1439590472
AMSZ02,PGSZ04,24330,38980,101.2,60.4,4085,4085,1,6811.344859794972
AMSZ02,PRSZ02,24330,30470,101.2,78,1353,1353,1,9566.870235471375
AMSZ02,PRSZ03,24330,27050,101.2,78,4887,4887,1,10443.954797483464
AMSZ02,SESZ03,24330,50520,101.2,124.3,10723,10723,1,5281.770300594321
AMSZ02,SESZ05,24330,16050,101.2,124.3,3962,3962,1,4213.4236951492885
AMSZ02,SGSZ01,24330,12720,101.2,68.2,34628,34628,1,1810.6196615644471
AMSZ02,SGSZ03,24330,13700,101.2,68.2,195797,195797,1,2154.5072521199454
AMSZ02,SGSZ04,24330,31420,101.2,68.2,5501,5501,1,1781.3051927773752
AMSZ02,SGSZ05,24330,7230,101.2,68.2,1766,1766,1,2866.63955881999
